Subject,Group,ChangeInspection,ChangeAvoidance,ChangeRefuge,ChangeFreezing,ChangeErratic
A1,CTRL,7.41282938514775,10.5780192111341,308.95,-10.873440285205,-90
A2,CTRL,3.88768956193691,-18.847743443883,312.882199573359,0,-50
A3,CTRL,7.70826164629576,-17.5636342552328,-74.6905940594059,-46.0144927536232,0
A4,CTRL,26.7343958393872,-22.6426361218175,65.85,-81.1,1300
A5,CTRL,10.464362958607,-24.4260178348061,1561.16504854369,0,38.0952380952381
A6,CTRL,16.8926213511606,-32.9345117988651,125.070422535211,6354.6,44.4444444444444
A7,CTRL,21.4451545386194,36.5233672129553,1367.15542521994,0,66.6666666666667
A8,CTRL,2.25452994913363,-9.03675744216563,-10.55,0,-55.5555555555556
A9,CTRL,5.90715651310712,-15.0452839071773,-41.8879056047198,0,600
A10,CTRL,-4.9472512981126,6.7752977319275,602.573529411765,0,600
A11,CTRL,9.18919223445368,-8.58399434540171,-81.938995063916,0,-100
A12,CTRL,9.62385389006598,-25.5665958918816,-37,0,-13.6363636363636
A13,CTRL,19.6423610369072,-32.9772646244138,-20.1075894155278,0,-22.2222222222222
A14,CTRL,6.1393989957639,31.427288993655,-93.5829286785939,156.086312435363,-20
A15,CTRL,50.0943631378414,-35.4746587646436,-82.2903522831907,0,-17.6470588235294
A16,CTRL,13.8894724277871,-32.7023743787963,-47.95,-79.7117027334852,-88.6178861788618
A17,CTRL,26.4620541079099,74.9866498032602,619.6,4.60104834012812,0
A18,CTRL,-2.37863437225617,1.24705383531408,322.85,0,0
A19,CTRL,-6.28195180470948,8.68615004473224,133.296943231441,0,366.666666666667
A20,CTRL,27.4396997801253,110.41821160645,4010.16949152542,0,0
A21,CTRL,-14.8155875150135,84.5618433619866,153.087885985748,0,950
B1,MK-212,-4.30767187523945,6.73521370547391,62.2648902821317,0,-50
B2,MK-212,2.17255696338379,-2.52619105329779,21.4734198409376,322.891344383057,-43.1578947368421
B3,MK-212,-15.7750391963439,39.6932313211553,6.9870857699805,528.930817610063,-72.7272727272727
B4,MK-212,-2.60183377631572,-7.56494724310572,834.779987944545,9.89010989010989,-100
B5,MK-212,-35.8199388069213,296.052922416243,135.9,-97.7999735996832,-50
B6,MK-212,10.3110604271278,-29.2727714790264,-50,0,-17.6470588235294
B7,MK-212,-7.36027846531195,10.5685884034738,-61.65,-80.9849781327248,62.5
B8,MK-212,12.4511766191782,-95.7252641690682,6.03716814159293,0,-75
B9,MK-212,59.8030716574063,-99.7221042880852,269.864739670187,-97.3837741673861,-50
B10,MK-212,-6.11666521470017,-29.5950515094755,-73.3412322274881,472.7,0
B11,MK-212,-2.97457358169857,19.2421080726955,-32.6243486499289,0,300
B12,MK-212,2.99312374403565,-13.4181156015038,105.202785743548,0,-7.69230769230769
B13,MK-212,-164.983509234828,-10.2173356812811,-99.043426273167,-14.6328754144955,-70.5882352941177
B14,MK-212,-6.05584077891816,18.0239950224531,108.307210031348,0,122.222222222222
B15,MK-212,24.7773367051878,-48.9077177388223,48.2869379014989,0,-42.2222222222222
B16,MK-212,-18.4129607162281,5.16377160217743,-87.5404933964615,178.258427545268,-31.5789473684211
B17,MK-212,-96.1042211671996,21.4902277193805,72.9688077918876,-48.4472205184694,20.3883495145631
B18,MK-212,21.2099125364432,-15.7573811388838,1456.2874251497,48.2556055513619,-39.1304347826087
B19,MK-212,-12.2358479076983,4.1121587114516,202.99860529986,0,-37.5
B20,MK-212,-61.5441255426529,-50.4958083267501,441.2,2.73934441452317,0
B21,MK-212,-8.37914490616958,1.81316784835978,1269.40559440559,-51.7493778363344,194.736842105263
C1,RS-102221,-23.6726669895479,31.2466464880121,88.6207643196944,84.7773432411618,256.382490855516
C2,RS-102221,67.1477671681567,19.6625827014542,-150.12172022458,22.0017449515392,9.59953457261591
C3,RS-102221,7.50207129259713,13.9527481272399,-113.595619447534,-22.5494555798379,95.5713863804698
C4,RS-102221,0.539165803238904,-15.4423752607348,61.3300156107407,94.6354490493135,150.109662236715
C5,RS-102221,4.00820312883695,16.2146927550039,127.553534326223,62.0313795765008,30.2362561385283
C6,RS-102221,-16.3373398768874,-3.06968042719637,31.9355720249668,80.5258557711936,273.953773507472
C7,RS-102221,-9.74396270720314,-2.32263417722991,111.811956382553,39.4153379623263,13.9568863059826
C8,RS-102221,25.8137810310234,-10.1548987303098,-112.049890209784,94.2531437951926,6.2540327860543
C9,RS-102221,18.9183494926534,16.8545298553872,-109.37589458009,-13.7852797725426,9.49372196670417
C10,RS-102221,-26.3950356879304,-9.44767092907594,-120.252529120516,54.534005024155,106.120807737376
C11,RS-102221,63.6332101489289,22.2695743966846,-50.7864963257026,30.7101461554182,146.481556301507
C12,RS-102221,56.2851814704386,20.6797718330211,-128.289394537155,25.5563878211035,131.918832912636
C13,RS-102221,-8.85157558833595,16.8820648103732,-140.293709382408,7.21874768918426,44.5670018951883
C14,RS-102221,22.6702416120555,-11.3742747387954,-133.876516373701,34.5053548869285,27.8014053982083
C15,RS-102221,79.0719144852395,2.24924322563111,-82.7638505799571,2.10820633837827,144.887881438815
C16,RS-102221,-25.208673001026,17.1917564508135,114.678934445427,-0.762691319932461,134.327954240865
C17,RS-102221,48.2239414990639,-0.26614106031293,123.46541263098,-29.3381504862713,-7.37547874790736
C18,RS-102221,17.0209465896468,-15.2205135443085,-31.660131324569,-26.4419881357053,77.5178969792673
C19,RS-102221,66.2293525630573,28.627834711607,99.4091413497424,65.1487814339324,118.79575287157
C20,RS-102221,49.4677023332135,32.054650358887,-103.547217625362,40.0061757812545,172.527478288287
C21,RS-102221,10.8951166882111,-1.35874126272945,92.7008368072301,83.1016772465007,298.314699255311
